ID	CRISPR-Cas
ab06591	I-Fb
ab06594	I-Fb
ab06629	I-Fb
ab06693	I-Fb
ab06721	I-Fb
ab06728	I-Fb
ab06736	I-Fb
ab06755	I-Fb
ab06767	I-Fb
ab06794	I-Fb
ab06825	I-Fb
ab06833	I-Fb
ab06852	I-Fb
ab06854	I-Fb
ab06855	I-Fb
ab06857	I-Fb
ab06858	I-Fb
ab06888	I-Fb
ab06898	I-Fb
ab07018	I-Fb
ab07023	I-Fb
ab07025	I-Fb
ab07031	I-Fb
ab07044	I-Fb
ab07159	I-Fb
ab07207	I-Fb
ab07208	I-Fb
ab07213	I-Fb
ab07215	I-Fb
ab07216	I-Fb
ab07217	I-Fb
ab07224	I-Fb
ab07227	I-Fb
ab07231	I-Fb
ab07236	I-Fb
ab07241	I-Fb
ab07242	I-Fb
ab07244	I-Fb
ab07246	I-Fb
ab07248	I-Fb
ab07251	I-Fb
ab07255	I-Fb
ab07279	I-Fb
ab07284	I-Fb
ab07292	I-Fb
ab07293	I-Fb
ab07295	I-Fb
ab07296	I-Fb
ab07302	I-Fb
ab07309	I-Fb
ab07400	I-Fb
ab07422	I-Fb
ab07426	I-Fb
ab07440	I-Fb
ab07442	I-Fb
ab07444	I-Fb
ab07447	I-Fb
ab07450	I-Fb
ab07451	I-Fb
ab07452	I-Fb
ab07453	I-Fb
ab07454	I-Fb
ab07455	I-Fb
ab07456	I-Fb
ab07457	I-Fb
ab07460	I-Fb
ab07461	I-Fb
ab07462	I-Fb
ab07463	I-Fb
ab07464	I-Fb
ab07465	I-Fb
ab07466	I-Fb
ab07467	I-Fb
ab07468	I-Fb
ab07469	I-Fb
ab07470	I-Fb
ab07471	I-Fb
ab07472	I-Fb
ab07473	I-Fb
ab07474	I-Fb
ab07475	I-Fb
ab07476	I-Fb
ab07477	I-Fb
ab07478	I-Fb
ab07479	I-Fb
ab07480	I-Fb
ab07481	I-Fb
ab07482	I-Fb
ab07483	I-Fb
ab07484	I-Fb
ab07485	I-Fb
ab07486	I-Fb
ab07487	I-Fb
ab07488	I-Fb
ab07489	I-Fb
ab07490	I-Fb
ab07491	I-Fb
ab07492	I-Fb
ab07578	I-Fb
ab07615	I-Fb
ab07641	I-Fb
ab07642	I-Fb
ab07660	I-Fb
ab07661	I-Fb
ab07664	I-Fb
ab07666	I-Fb
ab07668	I-Fb
ab07673	I-Fb
ab07674	I-Fb
ab07703	I-Fb
ab07722	I-Fb
ab07730	I-Fb
ab07731	I-Fb
ab07735	I-Fb
ab07750	I-Fb
ab07761	I-Fb
ab07776	I-Fb
ab07777	I-Fb
ab07790	I-Fb
ab07803	I-Fb
ab07812	I-Fb
ab07817	I-Fb
ab07852	I-Fb
ab07856	I-Fb
ab07862	I-Fb
ab07866	I-Fb
ab07883	I-Fb
ab07923	I-Fb
ab07929	I-Fb
ab07934	I-Fb
ab07965	I-Fb
ab08005	I-Fb
ab08012	I-Fb
ab08013	I-Fb
ab08017	I-Fb
ab08020	I-Fb
ab08036	I-Fb
ab08039	I-Fb
ab08040	I-Fb
ab08041	I-Fb
ab08050	I-Fb
ab08051	I-Fb
ab08060	I-Fb
ab08061	I-Fb
ab08062	I-Fb
ab08068	I-Fb
ab08069	I-Fb
ab08070	I-Fb
ab08071	I-Fb
ab08072	I-Fb
ab08094	I-Fb
ab08136	I-Fb
ab08152	I-Fb
ab08322	I-Fb
ab08332	I-Fb
ab08340	I-Fb
ab08342	I-Fb
ab08345	I-Fb
ab08350	I-Fb
ab08358	I-Fb
ab08364	I-Fb
ab08366	I-Fb
ab08379	I-Fb
ab08389	I-Fb
ab08396	I-Fb
ab08398	I-Fb
ab08403	I-Fb
ab08420	I-Fb
ab08460	I-Fb
ab08468	I-Fb
ab08544	I-Fb
ab08553	I-Fb
ab08589	I-Fb
ab08591	I-Fb
ab08592	I-Fb
ab08603	I-Fb
ab08617	I-Fb
ab08618	I-Fb
ab08619	I-Fb
ab08621	I-Fb
ab08622	I-Fb
ab08624	I-Fb
ab08625	I-Fb
ab08626	I-Fb
ab08627	I-Fb
ab08635	I-Fb
ab08636	I-Fb
ab08637	I-Fb
ab08646	I-Fb
ab08665	I-Fb
ab08673	I-Fb
ab08683	I-Fb
ab08689	I-Fb
ab08695	I-Fb
ab08698	I-Fb
ab08700	I-Fb
ab08701	I-Fb
ab08708	I-Fb
ab08713	I-Fb
ab08717	I-Fb
ab08734	I-Fb
ab08786	I-Fb
ab08808	I-Fb
ab08811	I-Fb
ab08826	I-Fb
ab08853	I-Fb
ab08859	I-Fb
ab08868	I-Fb
ab08872	I-Fb
ab08873	I-Fb
ab08908	I-Fb
ab08909	I-Fb
ab08910	I-Fb
ab08911	I-Fb
ab08913	I-Fb
ab08916	I-Fb
ab08934	I-Fb
ab08935	I-Fb
ab08936	I-Fb
ab08937	I-Fb
ab08938	I-Fb
ab08939	I-Fb
ab08940	I-Fb
ab08941	I-Fb
ab08942	I-Fb
ab08943	I-Fb
ab08944	I-Fb
ab09108	I-Fb
ab09117	I-Fb
ab09120	I-Fb
ab09121	I-Fb
ab09122	I-Fb
ab09154	I-Fb
ab09155	I-Fb
ab09158	I-Fb
ab09159	I-Fb
ab09162	I-Fb
ab09163	I-Fb
ab09164	I-Fb
ab09165	I-Fb
ab09172	I-Fb
ab09173	I-Fb
ab09176	I-Fb
ab09177	I-Fb
ab09178	I-Fb
ab09179	I-Fb
ab09184	I-Fb
ab09185	I-Fb
ab09195	I-Fb
ab09196	I-Fb
ab09197	I-Fb
ab09198	I-Fb
ab09213	I-Fb
ab09214	I-Fb
ab09307	I-Fb
ab09308	I-Fb
ab09309	I-Fb
ab09310	I-Fb
ab09311	I-Fb
ab09312	I-Fb
ab09315	I-Fb
ab09316	I-Fb
ab09325	I-Fb
ab09326	I-Fb
ab09400	I-Fb
ab09401	I-Fb
ab09402	I-Fb
ab09403	I-Fb
ab09405	I-Fb
ab09412	I-Fb
ab09454	I-Fb
ab09458	I-Fb
ab09510	I-Fb
ab09518	I-Fb
ab09526	I-Fb
ab09547	I-Fb
ab09564	I-Fb
ab09580	I-Fb
ab09586	I-Fb
ab09588	I-Fb
ab09599	I-Fb
ab09600	I-Fb
ab09601	I-Fb
ab09603	I-Fb
ab09618	I-Fb
ab09623	I-Fb
ab09627	I-Fb
ab09628	I-Fb
ab09629	I-Fb
ab09630	I-Fb
ab09649	I-Fb
ab09673	I-Fb
ab09677	I-Fb
ab09684	I-Fb
ab09685	I-Fb
ab09696	I-Fb
ab09713	I-Fb
ab00048	I-Fa,I-Fb
ab00076	I-Fa,I-Fb
ab00102	I-Fa,I-Fb
ab00107	I-Fa,I-Fb
ab00128	I-Fa,I-Fb
ab00146	I-Fa,I-Fb
ab00150	I-Fa,I-Fb
ab00152	I-Fa,I-Fb
ab00157	I-Fa,I-Fb
ab00162	I-Fa,I-Fb
ab00172	I-Fa,I-Fb
ab00181	I-Fa,I-Fb
ab00199	I-Fa,I-Fb
ab01198	I-Fa,I-Fb
ab01537	I-Fa,I-Fb
ab01567	I-Fa,I-Fb
ab03626	I-Fa,I-Fb
ab03751	I-Fa,I-Fb
ab04360	I-Fa,I-Fb
ab04929	I-Fa,I-Fb
ab04938	I-Fa,I-Fb
ab05494	I-Fa,I-Fb
ab05781	I-Fa,I-Fb
ab05782	I-Fa,I-Fb
ab06373	I-Fa,I-Fb
ab06627	I-Fa,I-Fb
ab06697	I-Fa,I-Fb
ab06722	I-Fa,I-Fb
ab06749	I-Fa,I-Fb
ab07261	I-Fa,I-Fb
ab07263	I-Fa,I-Fb
ab07401	I-Fa,I-Fb
ab07403	I-Fa,I-Fb
ab07404	I-Fa,I-Fb
ab07925	I-Fa,I-Fb
ab08081	I-Fa,I-Fb
ab08086	I-Fa,I-Fb
ab08430	I-Fa,I-Fb
ab08446	I-Fa,I-Fb
ab08755	I-Fa,I-Fb
ab09491	I-Fa,I-Fb
ab09501	I-Fa,I-Fb
ab09636	I-Fa,I-Fb
ab00016	I-Fa
ab00031	I-Fa
ab00041	I-Fa
ab00061	I-Fa
ab00080	I-Fa
ab00082	I-Fa
ab00087	I-Fa
ab00090	I-Fa
ab00092	I-Fa
ab00097	I-Fa
ab00103	I-Fa
ab00105	I-Fa
ab00106	I-Fa
ab00108	I-Fa
ab00120	I-Fa
ab00132	I-Fa
ab00137	I-Fa
ab00141	I-Fa
ab00147	I-Fa
ab00155	I-Fa
ab00160	I-Fa
ab00161	I-Fa
ab00165	I-Fa
ab00180	I-Fa
ab00185	I-Fa
ab00188	I-Fa
ab00192	I-Fa
ab00200	I-Fa
ab00203	I-Fa
ab00495	I-Fa
ab00564	I-Fa
ab00603	I-Fa
ab00873	I-Fa
ab00921	I-Fa
ab00922	I-Fa
ab00956	I-Fa
ab01086	I-Fa
ab01222	I-Fa
ab01263	I-Fa
ab01268	I-Fa
ab01279	I-Fa
ab01297	I-Fa
ab01333	I-Fa
ab01336	I-Fa
ab01400	I-Fa
ab01470	I-Fa
ab01471	I-Fa
ab01474	I-Fa
ab01478	I-Fa
ab01509	I-Fa
ab01511	I-Fa
ab01512	I-Fa
ab01513	I-Fa
ab01514	I-Fa
ab01515	I-Fa
ab01722	I-Fa
ab01733	I-Fa
ab01875	I-Fa
ab01888	I-Fa
ab01909	I-Fa
ab01918	I-Fa
ab02083	I-Fa
ab02091	I-Fa
ab02129	I-Fa
ab02165	I-Fa
ab02326	I-Fa
ab02375	I-Fa
ab02420	I-Fa
ab02523	I-Fa
ab02643	I-Fa
ab02943	I-Fa
ab03116	I-Fa
ab03129	I-Fa
ab03147	I-Fa
ab03375	I-Fa
ab03553	I-Fa
ab03590	I-Fa
ab03601	I-Fa
ab03612	I-Fa
ab03625	I-Fa
ab03631	I-Fa
ab03632	I-Fa
ab03638	I-Fa
ab03639	I-Fa
ab03644	I-Fa
ab03673	I-Fa
ab03680	I-Fa
ab03720	I-Fa
ab03752	I-Fa
ab03753	I-Fa
ab03759	I-Fa
ab03764	I-Fa
ab03779	I-Fa
ab03806	I-Fa
ab03827	I-Fa
ab03829	I-Fa
ab03832	I-Fa
ab03930	I-Fa
ab03940	I-Fa
ab04023	I-Fa
ab04282	I-Fa
ab04291	I-Fa
ab04293	I-Fa
ab04294	I-Fa
ab04305	I-Fa
ab04306	I-Fa
ab04357	I-Fa
ab04509	I-Fa
ab04510	I-Fa
ab04511	I-Fa
ab04512	I-Fa
ab04513	I-Fa
ab04516	I-Fa
ab04517	I-Fa
ab04518	I-Fa
ab04816	I-Fa
ab04820	I-Fa
ab04822	I-Fa
ab04915	I-Fa
ab04916	I-Fa
ab04925	I-Fa
ab04930	I-Fa
ab04932	I-Fa
ab04933	I-Fa
ab04934	I-Fa
ab04936	I-Fa
ab04937	I-Fa
ab04939	I-Fa
ab04940	I-Fa
ab04941	I-Fa
ab04942	I-Fa
ab04943	I-Fa
ab04944	I-Fa
ab04952	I-Fa
ab04953	I-Fa
ab04954	I-Fa
ab04955	I-Fa
ab04956	I-Fa
ab04957	I-Fa
ab04963	I-Fa
ab04971	I-Fa
ab04975	I-Fa
ab04981	I-Fa
ab04993	I-Fa
ab04994	I-Fa
ab04995	I-Fa
ab04996	I-Fa
ab04997	I-Fa
ab04998	I-Fa
ab05008	I-Fa
ab05009	I-Fa
ab05010	I-Fa
ab05011	I-Fa
ab05012	I-Fa
ab05013	I-Fa
ab05014	I-Fa
ab05015	I-Fa
ab05016	I-Fa
ab05022	I-Fa
ab05026	I-Fa
ab05031	I-Fa
ab05041	I-Fa
ab05042	I-Fa
ab05043	I-Fa
ab05045	I-Fa
ab05047	I-Fa
ab05052	I-Fa
ab05055	I-Fa
ab05057	I-Fa
ab05059	I-Fa
ab05107	I-Fa
ab05110	I-Fa
ab05111	I-Fa
ab05174	I-Fa
ab05409	I-Fa
ab05590	I-Fa
ab05600	I-Fa
ab05674	I-Fa
ab05683	I-Fa
ab05699	I-Fa
ab05751	I-Fa
ab05760	I-Fa
ab05791	I-Fa
ab05808	I-Fa
ab05836	I-Fa
ab05849	I-Fa
ab05878	I-Fa
ab05880	I-Fa
ab05906	I-Fa
ab05920	I-Fa
ab05961	I-Fa
ab05993	I-Fa
ab05997	I-Fa
ab06033	I-Fa
ab06106	I-Fa
ab06147	I-Fa
ab06170	I-Fa
ab06181	I-Fa
ab06182	I-Fa
ab06183	I-Fa
ab06190	I-Fa
ab06257	I-Fa
ab06280	I-Fa
ab06292	I-Fa
ab06310	I-Fa
ab06382	I-Fa
ab06526	I-Fa
ab06592	I-Fa
ab06600	I-Fa
ab06630	I-Fa
ab06657	I-Fa
ab06703	I-Fa
ab06713	I-Fa
ab06714	I-Fa
ab06735	I-Fa
ab06737	I-Fa
ab06821	I-Fa
ab06822	I-Fa
ab06824	I-Fa
ab06859	I-Fa
ab06887	I-Fa
ab06939	I-Fa
ab06940	I-Fa
ab06941	I-Fa
ab07065	I-Fa
ab07182	I-Fa
ab07220	I-Fa
ab07225	I-Fa
ab07240	I-Fa
ab07271	I-Fa
ab07297	I-Fa
ab07298	I-Fa
ab07334	I-Fa
ab07385	I-Fa
ab07441	I-Fa
ab07458	I-Fa
ab07593	I-Fa
ab07613	I-Fa
ab07675	I-Fa
ab07676	I-Fa
ab07782	I-Fa
ab07797	I-Fa
ab07799	I-Fa
ab07910	I-Fa
ab07919	I-Fa
ab07920	I-Fa
ab07970	I-Fa
ab07971	I-Fa
ab07980	I-Fa
ab07999	I-Fa
ab08000	I-Fa
ab08002	I-Fa
ab08003	I-Fa
ab08004	I-Fa
ab08008	I-Fa
ab08010	I-Fa
ab08011	I-Fa
ab08018	I-Fa
ab08076	I-Fa
ab08138	I-Fa
ab08183	I-Fa
ab08264	I-Fa
ab08315	I-Fa
ab08324	I-Fa
ab08431	I-Fa
ab08445	I-Fa
ab08463	I-Fa
ab08476	I-Fa
ab08490	I-Fa
ab08524	I-Fa
ab08551	I-Fa
ab08604	I-Fa
ab08658	I-Fa
ab08660	I-Fa
ab08661	I-Fa
ab08664	I-Fa
ab08720	I-Fa
ab08728	I-Fa
ab08794	I-Fa
ab08932	I-Fa
ab09125	I-Fa
ab09186	I-Fa
ab09187	I-Fa
ab09418	I-Fa
ab09439	I-Fa
ab09473	I-Fa
ab09557	I-Fa
ab09561	I-Fa
ab09574	I-Fa
ab09577	I-Fa
ab09583	I-Fa
ab09585	I-Fa
ab09635	I-Fa
ab09639	I-Fa
ab00013	ambiguous
ab00017	ambiguous
ab00019	ambiguous
ab00021	ambiguous
ab00024	ambiguous
ab00027	ambiguous
ab00029	ambiguous
ab00034	ambiguous
ab00046	ambiguous
ab00047	ambiguous
ab00049	ambiguous
ab00056	ambiguous
ab00063	ambiguous
ab00086	ambiguous
ab00094	ambiguous
ab00109	ambiguous
ab00123	ambiguous
ab00124	ambiguous
ab00131	ambiguous
ab00133	ambiguous
ab00136	ambiguous
ab00142	ambiguous
ab00144	ambiguous
ab00149	ambiguous
ab00158	ambiguous
ab00159	ambiguous
ab00167	ambiguous
ab00184	ambiguous
ab00196	ambiguous
ab00498	ambiguous
