Array	N	Frequency
ifa	2	25
ifa	2	38
ifa	2	37
ifa	2	25
ifa	2	24
ifa	2	13
ifa	2	24
ifa	2	39
ifa	2	37
ifa	2	25
ifa	2	15
ifa	2	25
ifa	2	25
ifa	2	24
ifa	2	41
ifa	2	21
ifa	2	28
ifa	2	28
ifa	2	36
ifa	2	24
ifa	2	11
ifa	2	43
ifa	2	22
ifa	2	25
ifa	2	13
ifa	2	28
ifa	2	25
ifa	2	25
ifa	2	52
ifa	2	24
ifa	2	28
ifa	2	40
ifa	2	52
ifa	2	50
ifa	2	25
ifa	2	50
ifa	2	25
ifa	2	28
ifa	2	24
ifa	2	25
ifa	2	11
ifa	2	33
ifa	2	37
ifa	2	30
ifa	2	7
ifa	2	38
ifa	2	11
ifa	2	7
ifa	2	31
ifa	2	13
ifa	2	51
ifa	2	16
ifa	2	27
ifa	2	26
ifa	2	14
ifa	2	8
ifa	2	7
ifa	2	11
ifa	2	13
ifa	2	36
ifa	2	34
ifa	2	36
ifa	2	6
ifa	2	36
ifa	2	35
ifa	2	42
ifa	2	45
ifa	2	27
ifa	2	6
ifa	2	42
ifa	2	31
ifa	2	7
ifa	2	15
ifa	2	36
ifa	2	13
ifa	2	21
ifa	2	36
ifa	2	36
ifa	2	36
ifa	2	6
ifa	2	63
ifa	2	11
ifa	2	9
ifa	2	18
ifa	2	18
ifa	2	45
ifa	2	30
ifa	2	36
ifa	2	45
ifa	2	13
ifa	2	23
ifa	2	18
ifa	2	25
ifa	2	26
ifa	2	23
ifa	2	42
ifa	2	22
ifa	2	22
ifa	2	22
ifa	2	52
ifa	2	21
ifa	2	24
ifa	2	16
ifa	2	16
ifa	2	12
ifa	2	14
ifa	2	22
ifa	2	20
ifa	2	34
ifa	2	34
ifa	2	38
ifa	2	22
ifa	2	41
ifa	2	41
ifa	2	6
ifa	2	22
ifa	2	56
ifa	2	22
ifa	2	6
ifa	2	6
ifa	2	36
ifa	2	38
ifa	2	31
ifa	2	23
ifa	2	6
ifa	2	23
ifa	2	10
ifa	2	10
ifa	2	6
ifa	2	23
ifa	2	7
ifb	unique	104
ifb	unique	104
ifb	unique	66
ifb	unique	112
ifb	unique	28
ifb	unique	28
ifb	unique	112
ifb	unique	112
ifb	unique	28
ifb	unique	66
ifb	unique	66
ifb	unique	49
ifb	unique	66
ifb	unique	66
ifb	unique	112
ifb	unique	66
ifb	unique	53
ifb	unique	32
ifb	unique	30
ifb	unique	155
ifb	unique	66
ifb	unique	66
ifb	unique	79
ifb	unique	65
ifb	unique	66
ifb	unique	64
ifb	unique	66
ifb	unique	139
ifb	unique	110
ifb	unique	144
ifb	unique	54
ifb	unique	63
ifb	unique	100
ifb	unique	107
ifb	unique	85
ifb	unique	164
ifb	unique	28
ifb	unique	108
ifb	unique	81
ifb	unique	74
ifb	unique	65
ifb	unique	81
ifb	unique	27
ifb	unique	35
ifb	unique	81
ifb	unique	168
ifb	unique	84
ifb	unique	66
ifb	unique	66
ifb	unique	120
ifb	unique	56
ifb	unique	111
ifb	unique	80
ifb	unique	61
ifb	unique	76
ifb	unique	121
ifb	unique	136
ifb	unique	136
ifb	unique	65
ifb	unique	81
ifb	unique	75
ifb	unique	58
ifb	unique	100
ifb	unique	109
ifb	unique	66
ifb	unique	26
ifb	unique	76
ifb	unique	92
ifb	unique	52
ifb	unique	37
ifb	unique	51
ifb	unique	52
ifb	unique	73
ifb	unique	52
ifb	unique	69
ifb	unique	53
ifb	unique	84
ifb	unique	53
ifb	unique	43
ifb	unique	12
ifb	unique	43
ifb	unique	12
ifb	unique	65
ifb	unique	65
ifb	unique	35
ifb	unique	35
ifb	unique	35
ifb	unique	35
ifb	unique	56
ifb	unique	76
ifb	unique	79
ifb	unique	52
ifb	unique	48
ifb	unique	13
ifb	unique	30
ifb	unique	13
ifb	unique	30
ifb	unique	13
ifb	unique	30
ifb	unique	13
ifb	unique	30
ifb	unique	13
ifb	unique	30
ifb	unique	30
ifb	unique	13
ifb	unique	42
ifb	unique	43
ifb	unique	42
ifb	unique	48
ifb	unique	70
ifb	unique	49
ifb	unique	48
ifb	unique	49
ifb	unique	47
ifb	unique	71
ifb	unique	26
ifb	unique	52
ifb	unique	39
ifb	unique	45
ifb	unique	35
ifb	unique	53
ifb	unique	101
ifb	unique	13
ifb	unique	30
ifb	unique	51
ifb	unique	30
ifb	unique	13
ifb	unique	52
ifb	unique	9
ifb	unique	52
ifb	unique	9
ifb	unique	46
ifb	unique	95
ifb	unique	35
ifb	unique	20
ifb	unique	66
ifb	unique	38
ifb	unique	61
ifb	unique	67
ifb	unique	108
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	48
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	40
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	52
ifb	unique	45
